Date,VIB,MSN,VIC,HDB
20210104,16.7084,72.799,96,15.4524
20210105,17.873,73.1266,97.5111,15.8692
20210106,17.8983,72.3077,97.9556,16.4463
20210107,17.7211,75.3376,97.8667,17.1836
20210108,17.5945,76.2384,99.3778,17.376
20210111,17.4426,77.0572,101.1556,17.2157
20210112,17.4426,76.9754,101.6889,17.1516
20210113,17.5692,76.4021,98.7556,17.2157
20210114,17.8223,75.5833,98.1333,17.1836
20210115,18.0502,76.1565,98.8444,17.8889
20210118,17.873,77.8761,98.0444,17.4721
20210119,16.7084,74.4368,91.2889,16.2539
20210120,16.6831,74.4368,91.8222,16.3501
20210121,17.2654,74.9281,93.4222,16.5424
20210122,17.2907,76.4021,93.3333,16.7348
20210125,17.2907,79.432,93.1556,16.4463
20210126,16.7591,78.2037,90.2222,15.7089
20210127,16.9363,75.0919,88.8889,14.9395
20210128,15.7718,69.851,82.6667,13.9136
20210129,15.9996,70.0148,88.3556,14.2983
20210201,15.7211,67.1487,88,14.2342
20210202,16.1768,68.7865,94.1333,14.8754
20210203,17.1641,72.799,95.5556,15.3883
20210204,17.1135,73.2904,93.3333,15.0998
20210205,17.9236,73.3723,95.5556,15.4524
20210208,17.6198,70.0967,89.7778,15.0357
20210209,18.2274,72.6353,94.4,15.4524
20210217,19.1134,75.3376,96,16.286
20210218,18.9615,77.8761,97.7778,16.3501
20210219,19.0375,77.7124,96.8889,16.3821
20210222,19.0881,77.4667,97.5111,16.5424
20210223,18.835,75.9108,97.7778,16.6386
20210224,18.9362,74.5187,96.1778,16.318
20210225,19.4679,73.3723,96.8,16.3501
20210226,20.1008,73.9455,96.8889,16.1257
20210301,21.4931,74.7644,96.4444,16.5424
20210302,22.0754,74.4368,96.1778,17.1195
20210303,21.8729,74.1093,95.0222,17.2798
20210304,21.2653,72.3896,95.0222,16.7989
20210305,21.9235,73.0447,94.4889,16.5745
20210308,21.8475,71.5707,94.2222,16.6386
20210309,21.7716,70.9975,92.7111,16.6386
20210310,21.7463,71.2432,94.2222,16.7348
20210311,21.8982,71.4888,94.1333,16.9271
20210312,21.9994,71.4888,94.1333,17.0874
20210315,22.126,72.4715,94.2222,17.0874
20210316,22.0248,72.062,93.6889,17.1836
20210317,23.2905,72.062,93.0667,17.6324
20210318,23.164,73.4541,94.7556,17.6324
20210319,23.1387,72.6353,96.3556,17.408
20210322,22.8602,72.1439,95.3778,17.2798
20210323,22.5311,70.8337,94.6667,16.9913
20210324,22.1767,69.6873,95.9111,16.3501
20210325,21.8222,70.4243,98.1333,16.4142
20210326,21.8982,70.3424,99.9111,16.5104
20210329,22.2526,70.5062,100.2667,16.6707
20210330,23.4931,72.4715,104,16.7989
20210331,24.5057,75.747,104.8,16.9271
20210401,25.2652,75.5833,109.3333,17.1836
20210402,25.6702,75.9108,109.3333,17.4721
20210405,26.9867,76.1565,110.4889,17.7286
20210406,27.1386,75.2557,112.8889,17.6966
20210407,26.9867,76.8116,113.5111,17.7927
20210408,25.9234,76.1565,111.4667,17.9851
20210409,25.6702,75.4195,111.0222,17.953
20210412,26.8348,75.2557,117.3333,17.8889
20210413,26.3284,77.1391,125.0667,17.7286
20210414,26.4803,82.4619,124.4444,17.8889
20210415,26.2778,81.8887,125.2444,17.5363
20210416,25.8221,81.9706,127.1111,17.0874
20210419,26.3284,87.7028,128,17.5042
20210420,27.3411,86.3926,127.2,17.4401
20210422,26.9867,80.4147,123.3778,16.863
20210423,26.9867,81.8887,122.9333,17.2477
20210426,27.2398,77.7942,116.8889,16.9913
20210427,26.9867,80.2509,117.4222,17.1836
20210428,27.7461,81.0698,116.8889,17.2157
